Matrícula   Nombre                         Apellido Paterno                                   Apellido Materno                                   Edad            Sexo                           Posición de Trabajo           Estado          Celular     
308480       Sofia                          Rojas                                              Hernández                                         62              MUJER                          Psicólogo                     PUEBLA          52          
308519       Isabel                         Mendoza                                            Garcia                                             80              MUJER                          Analista de Datos              BAJA CALIFORNIA 52          
308683       Diego                          Morales                                            Núñez                                            41              HOMBRE                         Contador                       PUEBLA          52          
309040       Felipe                         Estrvez                                            Mendoza                                            77              HOMBRE                         Investigador Científico       YUCATAN         52          
309515       David                          Rodriguez                                          Lopez                                              27              HOMBRE                         Policía                       MEXICO          52          
309676       Alberto                        Torres                                             Romero                                             23              HOMBRE                         Arquitecto                     GUERRERO        52          
310067       Beatriz                        Rodriguez                                          Lopez                                              60              MUJER                          Chef                           OAXACA          52          
310075       Obama                          Hernández                                         Figueroa                                           30              HOMBRE                         Psicólogo                     GUANAJUATO      52          
310353       Felipe                         Lopez                                              Rodriguez                                          77              HOMBRE                         Electricista                   MORELOS         52          
310383       Daniela                        Ramirez                                            Díaz                                              32              MUJER                          Policía                       CHIAPAS         52          
310466       Camila                         Torres                                             Rodriguez                                          29              MUJER                          Gerente de Proyectos           DURANGO         52          
310712       Segismundo                     Rojas                                              Díaz                                              35              HOMBRE                         Chef                           CHIHUAHUA       52          
310866       Soponcio                       Ortega                                             Núñez                                            37              HOMBRE                         Analista de Marketing          SINALOA         52          
311538       Jose                           Rojas                                              Salazar                                            60              HOMBRE                         Ingeniero de Sistemas          VERACRUZ        52          
311600       Digna                          Valencia                                           Rodriguez                                          23              MUJER                          Contador                       DURANGO         52          
312193       Andrea                         Gonzalez                                           Romero                                             26              MUJER                          Técnico de Soporte            DURANGO         52          
312529       Clara                          Rojas                                              Romero                                             76              MUJER                          Policía                       DURANGO         52          
312722       Carolina                       Morales                                            Paredes                                            34              MUJER                          Psicólogo                     GUERRERO        52          
312859       Daniela                        Valencia                                           Ortega                                             47              MUJER                          Técnico de Soporte            TABASCO         52          
313037       Beatriz                        Lopez                                              Figueroa                                           37              MUJER                          Investigador Científico       MEXICO          52          
313061       Camila                         Mendoza                                            Guerrero                                           24              MUJER                          Artesano                       CHIAPAS         52          
313186       Luis                           Ramirez                                            Ramirez                                            78              HOMBRE                         Enfermero                      TABASCO         52          
313290       David                          Hernández                                         Mendoza                                            44              HOMBRE                         Investigador Científico       YUCATAN         52          
313648       Cipriano                       Fernandez                                          Fernandez                                          28              HOMBRE                         Traductor                      YUCATAN         52          
313931       Roberto                        Estrvez                                            Romero                                             55              HOMBRE                         Profesor                       NAYARIT         52          
314146       Laura                          Jimenez                                            Garcia                                             78              MUJER                          Electricista                   OAXACA          52          
314932       Daniela                        Díaz                                              Garcia                                             32              MUJER                          Actor                          VERACRUZ        52          
315281       Rafael                         Sánchez                                           Vargas                                             77              HOMBRE                         Economista                     OAXACA          52          
316413       Adolfo                         Vargas                                             Fernandez                                          80              HOMBRE                         Asistente Administrativo       HIDALGO         52          
316439       Diego                          Fernandez                                          Lopez                                              38              HOMBRE                         Electricista                   MEXICO          52          
316541       Marciana                       Silva                                              Paredes                                            63              MUJER                          Electricista                   NUEVO LEON      52          
316941       Obama                          Figueroa                                           Díaz                                              70              HOMBRE                         Asistente Administrativo       DURANGO         52          
317673       Paola                          Guerrero                                           Valencia                                           20              MUJER                          Actor                          COLIMA          52          
317825       Soponcio                       Suarez                                             Salazar                                            26              HOMBRE                         Asesor Financiero              JALISCO         52          
318190       Adolfo                         Mendoza                                            Valencia                                           65              HOMBRE                         Piloto                         MORELOS         52          
318230       Paola                          Figueroa                                           Ortega                                             30              MUJER                          Especialista en Redes          JALISCO         52          
318330       Felipe                         Lopez                                              Perez                                              33              HOMBRE                         Piloto                         TLAXCALA        52          
319711       Jose                           Salazar                                            Jimenez                                            74              HOMBRE                         Piloto                         OAXACA          52          
320055       Luis                           Estrvez                                            Fernandez                                          60              HOMBRE                         Piloto                         CIUDAD DE MEXICO 52          
320315       Laura                          Silva                                              Paredes                                            18              MUJER                          Chef                           ZACATECAS       52          
320799       Luis                           Garcia                                             Salazar                                            37              HOMBRE                         Recepcionista                  VERACRUZ        52          
320851       Maria                          Romero                                             Valencia                                           32              MUJER                          Asistente Administrativo       MORELOS         52          
321293       Francisco                      Salazar                                            Ramirez                                            26              HOMBRE                         Desarrollador de Software      BAJA CALIFORNIA SUR 52          
321881       Adolfo                         Martinez                                           Molina                                             75              HOMBRE                         Traductor                      OAXACA          52          
322619       Digna                          Martinez                                           Suarez                                             49              MUJER                          Economista                     QUERETARO       52          
322813       Verónica                      Fernandez                                          Morales                                            19              MUJER                          Policía                       MEXICO          52          
322850       Cipriano                       Paredes                                            Salazar                                            51              HOMBRE                         Bombero                        COAHUILA        52          
323271       Verónica                      Lopez                                              Sánchez                                           73              MUJER                          Gerente de Proyectos           DURANGO         52          
323646       Isabel                         Gonzalez                                           Lopez                                              28              MUJER                          Investigador Científico       COLIMA          52          
324155       Segismundo                     Ortega                                             Rodriguez                                          68              HOMBRE                         Asesor Financiero              PUEBLA          52          
324355       Camila                         Ramirez                                            Lopez                                              18              MUJER                          Desarrollador de Software      CHIAPAS         52          
324423       Digna                          Rojas                                              Núñez                                            18              MUJER                          Profesor                       AGUASCALIENTES  52          
324488       Andrea                         Paredes                                            Martinez                                           46              MUJER                          Electricista                   SONORA          52          
324596       Lucia                          Fernandez                                          Perez                                              38              MUJER                          Investigador Científico       CHIAPAS         52          
325269       Beatriz                        Garcia                                             Morales                                            70              MUJER                          Chef                           CHIHUAHUA       52          
325561       Ana                            Molina                                             Jimenez                                            19              MUJER                          Asistente Administrativo       SAN LUIS POTOSI 52          
325990       Andrea                         Morales                                            Jimenez                                            43              MUJER                          Traductor                      SINALOA         52          
326058       Maria                          Sánchez                                           Suarez                                             31              MUJER                          Contador                       SONORA          52          
326173       Andres                         Ortega                                             Núñez                                            66              HOMBRE                         Recepcionista                  MORELOS         52          
326463       Valeria                        Lopez                                              Ramirez                                            27              MUJER                          Abogado                        SINALOA         52          
327348       Diego                          Martinez                                           Paredes                                            33              HOMBRE                         Economista                     PUEBLA          52          
327681       Soponcio                       Morales                                            Núñez                                            74              HOMBRE                         Chef                           MEXICO          52          
328145       Ana                            Díaz                                              Salazar                                            52              MUJER                          Periodista                     HIDALGO         52          
328323       Fernando                       Sánchez                                           Jimenez                                            45              HOMBRE                         Electricista                   CHIHUAHUA       52          
329011       Adriana                        Rodriguez                                          Jimenez                                            45              MUJER                          Psicólogo                     HIDALGO         52          
329141       Emilio                         Núñez                                            Estrvez                                            25              HOMBRE                         Chef                           GUERRERO        52          
329577       Adriana                        Rojas                                              Ramirez                                            65              MUJER                          Artesano                       TAMAULIPAS      52          
329734       Miguel                         Molina                                             Lopez                                              57              HOMBRE                         Enfermero                      OAXACA          52          
329815       Lucia                          Molina                                             Jimenez                                            76              MUJER                          Contador                       PUEBLA          52          
329873       Digna                          Núñez                                            Romero                                             69              MUJER                          Técnico de Soporte            BAJA CALIFORNIA SUR 52          
329956       Valeria                        Díaz                                              Jimenez                                            42              MUJER                          Abogado                        GUANAJUATO      52          
330303       Diego                          Molina                                             Rojas                                              68              HOMBRE                         Diseñador Gráfico            CHIHUAHUA       52          
330523       Segismundo                     Ramirez                                            Garcia                                             30              HOMBRE                         Policía                       MEXICO          52          
331101       Rafael                         Guerrero                                           Paredes                                            30              HOMBRE                         Recepcionista                  MORELOS         52          
331286       Jose                           Cruz                                               Rodriguez                                          41              HOMBRE                         Bombero                        NAYARIT         52          
331818       Andres                         Salazar                                            Torres                                             52              HOMBRE                         Actor                          MORELOS         52          
331907       Camila                         Ortega                                             Cruz                                               70              MUJER                          Analista de Marketing          BAJA CALIFORNIA SUR 52          
332226       Cipriano                       Torres                                             Perez                                              20              HOMBRE                         Contador                       YUCATAN         52          
